"paper_title","collaborator","collaborator_norm","institution","city","country","lat","lng"
"Advances and prospects for the human biomolecular atlas program (HuBMAP)","Thomas C Smits","thomascsmits","Radboudumc","Radboud Universitair Medisch Centrum",NA,51.8227627,5.8622342
"Advances and prospects for the human biomolecular atlas program (HuBMAP)","Morgan L Turner","morganlturner","Harvard Medical School","Harvard Medical School",NA,42.3369167,-71.1038922
"TidyMass an object-oriented reproducible analysis framework for LC–MS data","Chuchu Wang","chuchuwang","Stanford University","Stanford University",NA,37.4313138,-122.1693654
"TidyMass an object-oriented reproducible analysis framework for LC–MS data","Peng Gao","penggao","Stanford University","Stanford University",NA,37.4313138,-122.1693654
"Longitudinal interactions between levels of serum cytokine and the microbiome from four body sites","Daniel J Spakowicz","danieljspakowicz","The Ohio State University","The Ohio State University",NA,40.0056982,-83.0286573
"Longitudinal interactions between levels of serum cytokine and the microbiome from four body sites","Yanjiao Zhou","yanjiaozhou","UCONN HEALTH","University of Connecticut Health Center",NA,41.7334455,-72.7923453
"Longitudinal interactions between levels of serum cytokine and the microbiome from four body sites","George Weinstock","georgeweinstock","The Jackson Lab","Knox Selfie Lab",NA,35.9683972,-83.921139
"Lipoprotein (a) and Small Dense LDL Profiles and Statin Response in Type 2 Diabetes Mellitus: A Case-Control Study","Sophida Suta","sophidasuta","Mahidol University","มหาวิทยาลัยมหิดล",NA,13.7946521,100.3218583
"Lipoprotein (a) and Small Dense LDL Profiles and Statin Response in Type 2 Diabetes Mellitus: A Case-Control Study","Bonggochpass Pinsawas","bonggochpasspinsawas","Mahidol University","มหาวิทยาลัยมหิดล",NA,13.7946521,100.3218583
"Lipoprotein (a) and Small Dense LDL Profiles and Statin Response in Type 2 Diabetes Mellitus: A Case-Control Study","Apinya Surawit","apinyasurawit","Mahidol University","มหาวิทยาลัยมหิดล",NA,13.7946521,100.3218583
"Lipoprotein (a) and Small Dense LDL Profiles and Statin Response in Type 2 Diabetes Mellitus: A Case-Control Study","Suphawan Ophakas","suphawanophakas","Mahidol University","มหาวิทยาลัยมหิดล",NA,13.7946521,100.3218583
"Lipoprotein (a) and Small Dense LDL Profiles and Statin Response in Type 2 Diabetes Mellitus: A Case-Control Study","Phongthana Pasookhush","phongthanapasookhush","Mahidol University","มหาวิทยาลัยมหิดล",NA,13.7946521,100.3218583
"Lipoprotein (a) and Small Dense LDL Profiles and Statin Response in Type 2 Diabetes Mellitus: A Case-Control Study","Pichanun Mongkolsucharitkul","pichanunmongkolsucharitkul","Mahidol University","มหาวิทยาลัยมหิดล",NA,13.7946521,100.3218583
"Lipoprotein (a) and Small Dense LDL Profiles and Statin Response in Type 2 Diabetes Mellitus: A Case-Control Study","Thananya Soonkum","thananyasoonkum","Mahidol University (Salaya Campus)","มหาวิทยาลัยมหิดล",NA,13.7946521,100.3218583
"Lipoprotein (a) and Small Dense LDL Profiles and Statin Response in Type 2 Diabetes Mellitus: A Case-Control Study","Sureeporn Pumeiam","sureepornpumeiam","Mahidol University","มหาวิทยาลัยมหิดล",NA,13.7946521,100.3218583
"Lipoprotein (a) and Small Dense LDL Profiles and Statin Response in Type 2 Diabetes Mellitus: A Case-Control Study","Korapat Mayurasakorn","korapatmayurasakorn","Mahidol University","มหาวิทยาลัยมหิดล",NA,13.7946521,100.3218583
"TidyMass: An Object-oriented Reproducible Analysis Framework for LC-MS Data","Chuchu Wang","chuchuwang","Stanford University","Stanford University",NA,37.4313138,-122.1693654
"TidyMass: An Object-oriented Reproducible Analysis Framework for LC-MS Data","Peng Gao","penggao","Stanford University","Stanford University",NA,37.4313138,-122.1693654
"Advances and prospects for the Human BioMolecular Atlas Program (HuBMAP)","Thomas C Smits","thomascsmits","Radboudumc","Radboud Universitair Medisch Centrum",NA,51.8227627,5.8622342
"Advances and prospects for the Human BioMolecular Atlas Program (HuBMAP)","Morgan L Turner","morganlturner","Harvard Medical School","Harvard Medical School",NA,42.3369167,-71.1038922
